,Suburb,Rooms,Type,Method,SellerG,Regionname,Propertycount,Distance,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Price
28,Abbotsford,1,u,S,Jellis,Northern Metropolitan,4019.0,2.5,Yarra,1.0,1.0,1.0,0.0,50.0,457000.0
29,Abbotsford,2,h,S,Nelson,Northern Metropolitan,4019.0,2.5,Yarra,2.0,2.0,2.0,98.0,128.0,1135000.0
31,Abbotsford,3,h,S,Biggin,Northern Metropolitan,4019.0,2.5,Yarra,3.0,2.0,2.0,147.0,18.0,1290000.0
32,Abbotsford,3,h,S,Biggin,Northern Metropolitan,4019.0,2.5,Yarra,3.0,1.0,1.0,168.0,124.0,1290000.0
33,Abbotsford,1,u,S,Nelson,Northern Metropolitan,4019.0,2.5,Yarra,1.0,1.0,1.0,0.0,50.0,470000.0
34,Abbotsford,2,h,S,Jellis,Northern Metropolitan,4019.0,2.5,Yarra,2.0,1.0,0.0,162.0,91.0,1180000.0
35,Abbotsford,3,h,SP,Jellis,Northern Metropolitan,4019.0,2.5,Yarra,3.0,2.0,1.0,120.0,128.0,1195000.0
36,Abbotsford,2,h,S,Nelson,Northern Metropolitan,4019.0,2.5,Yarra,2.0,1.0,0.0,182.0,82.0,1012500.0
37,Abbotsford,2,h,S,Biggin,Northern Metropolitan,4019.0,2.5,Yarra,2.0,1.0,1.0,172.0,81.0,1030000.0
38,Airport West,3,t,PI,Nelson,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,2.0,1.0,303.0,225.0,840000.0
39,Airport West,3,h,VB,Nelson,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,2.0,1.0,0.0,145.0,730000.0
40,Airport West,3,h,SP,Nelson,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,2.0,1.0,0.0,145.0,770000.0
41,Airport West,2,h,S,Nelson,Western Metropolitan,3464.0,13.5,Moonee Valley,2.0,1.0,1.0,272.0,84.0,603000.0
42,Airport West,3,t,S,Brad,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,2.0,2.0,239.0,134.0,700000.0
43,Airport West,3,h,S,Maddison,Western Metropolitan,3464.0,13.5,Moonee Valley,2.0,1.0,1.0,290.0,116.0,600000.0
44,Airport West,2,u,VB,Barry,Western Metropolitan,3464.0,13.5,Moonee Valley,2.0,1.0,1.0,168.0,86.0,500000.0
46,Airport West,4,h,S,Considine,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,1.0,2.0,597.0,127.0,785000.0
47,Airport West,6,h,SP,Barry,Western Metropolitan,3464.0,13.5,Moonee Valley,6.0,3.0,2.0,976.0,186.0,725000.0
48,Airport West,2,t,S,Barry,Western Metropolitan,3464.0,13.5,Moonee Valley,2.0,1.0,1.0,110.0,90.0,450000.0
49,Airport West,2,u,S,Barry,Western Metropolitan,3464.0,13.5,Moonee Valley,2.0,1.0,1.0,141.0,73.0,515000.0
50,Airport West,2,u,S,Nelson,Western Metropolitan,3464.0,13.5,Moonee Valley,2.0,1.0,1.0,120.0,94.0,530000.0
51,Airport West,3,h,PI,Rendina,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,1.0,6.0,1063.0,133.0,895000.0
52,Airport West,3,h,S,Nelson,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,1.0,1.0,0.0,105.0,805000.0
53,Airport West,3,u,S,Nelson,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,1.0,1.0,265.0,130.0,752000.0
56,Airport West,3,t,PI,Brad,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,2.0,2.0,165.0,133.0,700000.0
57,Airport West,3,h,S,Barry,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,1.0,2.0,971.0,113.0,830000.0
60,Airport West,2,h,S,Barry,Western Metropolitan,3464.0,13.5,Moonee Valley,2.0,1.0,1.0,612.0,100.0,675000.0
61,Airport West,3,h,S,Nelson,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,2.0,5.0,612.0,174.0,1042000.0
63,Airport West,4,h,S,Brad,Western Metropolitan,3464.0,13.5,Moonee Valley,5.0,3.0,4.0,531.0,309.0,773000.0
64,Airport West,3,h,PI,Barry,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,3.0,2.0,555.0,192.0,810000.0
65,Airport West,3,h,S,Rendina,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,2.0,2.0,422.0,126.0,715000.0
67,Airport West,3,t,SP,Nelson,Western Metropolitan,3464.0,13.5,Moonee Valley,2.0,2.0,1.0,161.0,101.0,540000.0
68,Airport West,3,t,SP,Barry,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,2.0,1.0,293.0,102.0,825000.0
69,Airport West,3,h,S,Barry,Western Metropolitan,3464.0,13.5,Moonee Valley,3.0,1.0,1.0,579.0,113.0,685000.0
71,Airport West,2,u,S,Nelson,Western Metropolitan,3464.0,13.5,Moonee Valley,2.0,1.0,1.0,141.0,76.0,510000.0
77,Airport West,4,h,S,Harcourts,Western Metropolitan,3464.0,13.5,Moonee Valley,4.0,2.0,3.0,628.0,146.0,900000.0
78,Albert Park,2,h,S,hockingstuart,Southern Metropolitan,3280.0,3.3,Port Phillip,2.0,1.0,0.0,120.0,82.0,1275000.0
80,Albert Park,3,h,PI,Buxton,Southern Metropolitan,3280.0,3.3,Port Phillip,3.0,2.0,0.0,211.0,198.0,2850000.0
81,Albert Park,3,h,S,Greg,Southern Metropolitan,3280.0,3.3,Port Phillip,3.0,2.0,0.0,128.0,133.0,1850000.0
82,Albert Park,2,h,S,RT,Southern Metropolitan,3280.0,3.3,Port Phillip,2.0,1.0,0.0,130.0,81.0,1436000.0
85,Albert Park,4,h,S,Marshall,Southern Metropolitan,3280.0,3.3,Port Phillip,4.0,2.0,1.0,153.0,180.0,2300000.0
87,Albert Park,3,h,VB,Greg,Southern Metropolitan,3280.0,3.3,Port Phillip,3.0,2.0,1.0,132.0,159.0,1800000.0
88,Albert Park,2,h,S,Greg,Southern Metropolitan,3280.0,3.3,Port Phillip,2.0,1.0,1.0,199.0,107.0,2120000.0
90,Albert Park,3,h,S,Marshall,Southern Metropolitan,3280.0,3.3,Port Phillip,3.0,2.0,1.0,90.0,122.0,1800000.0
92,Albert Park,3,h,S,Cayzer,Southern Metropolitan,3280.0,3.3,Port Phillip,3.0,2.0,1.0,177.0,181.0,2615000.0
95,Albert Park,3,h,S,Greg,Southern Metropolitan,3280.0,3.3,Port Phillip,3.0,2.0,2.0,0.0,85.0,1370000.0
98,Albert Park,2,h,S,Greg,Southern Metropolitan,3280.0,3.3,Port Phillip,2.0,1.0,0.0,149.0,98.0,1322500.0
99,Albert Park,2,h,S,Greg,Southern Metropolitan,3280.0,3.3,Port Phillip,2.0,1.0,0.0,141.0,83.0,1562500.0
100,Albert Park,3,h,VB,RT,Southern Metropolitan,3280.0,3.3,Port Phillip,3.0,2.0,1.0,211.0,147.0,2000000.0
102,Albert Park,3,h,S,Greg,Southern Metropolitan,3280.0,3.3,Port Phillip,3.0,2.0,0.0,147.0,146.0,3010000.0
103,Albert Park,4,h,VB,Cayzer,Southern Metropolitan,3280.0,3.3,Port Phillip,4.0,3.0,1.0,327.0,254.0,2800000.0
105,Albert Park,3,h,SP,Marshall,Southern Metropolitan,3280.0,3.3,Port Phillip,2.0,1.0,1.0,120.0,123.0,2100000.0
106,Albert Park,3,h,PI,Marshall,Southern Metropolitan,3280.0,3.3,Port Phillip,3.0,1.0,1.0,238.0,131.0,2000000.0
107,Albert Park,1,u,S,Marshall,Southern Metropolitan,3280.0,3.3,Port Phillip,1.0,1.0,0.0,0.0,34.0,442500.0
108,Albert Park,4,h,S,Marshall,Southern Metropolitan,3280.0,3.3,Port Phillip,4.0,2.0,1.0,330.0,207.0,4735000.0
113,Albert Park,4,h,S,Greg,Southern Metropolitan,3280.0,3.3,Port Phillip,3.0,2.0,1.0,183.0,145.0,2140000.0
115,Albert Park,2,h,S,Greg,Southern Metropolitan,3280.0,3.3,Port Phillip,2.0,1.0,0.0,79.0,68.0,980000.0
117,Albert Park,3,h,PI,Marshall,Southern Metropolitan,3280.0,3.3,Port Phillip,3.0,2.0,2.0,147.0,134.0,1740000.0
119,Albert Park,1,h,S,Marshall,Southern Metropolitan,3280.0,3.3,Port Phillip,1.0,1.0,0.0,81.0,54.0,985000.0
120,Alphington,4,h,S,Brace,Northern Metropolitan,2211.0,6.4,Darebin,3.0,2.0,4.0,853.0,263.0,2000000.0
123,Alphington,4,h,S,Collins,Northern Metropolitan,2211.0,6.4,Darebin,4.0,2.0,1.0,599.0,203.0,1717500.0
124,Alphington,5,h,S,Nelson,Northern Metropolitan,2211.0,6.4,Darebin,5.0,4.0,4.0,809.0,165.0,2840000.0
125,Alphington,2,u,S,Miles,Northern Metropolitan,2211.0,6.4,Darebin,2.0,1.0,1.0,88.0,60.0,525500.0
126,Alphington,2,t,S,Miles,Northern Metropolitan,2211.0,6.4,Darebin,2.0,2.0,3.0,155.0,140.0,805000.0
131,Alphington,4,h,S,Nelson,Northern Metropolitan,2211.0,6.4,Darebin,4.0,2.0,2.0,606.0,112.0,1830000.0
132,Alphington,4,h,S,Nelson,Northern Metropolitan,2211.0,6.4,Darebin,4.0,2.0,2.0,575.0,271.0,2100000.0
133,Alphington,3,h,SP,hockingstuart,Northern Metropolitan,2211.0,6.4,Darebin,3.0,1.0,1.0,180.0,131.0,865000.0
134,Alphington,2,u,VB,Nelson,Northern Metropolitan,2211.0,6.4,Darebin,2.0,1.0,1.0,0.0,60.0,390000.0
136,Alphington,2,u,S,Love,Northern Metropolitan,2211.0,6.4,Darebin,2.0,1.0,1.0,0.0,61.0,512000.0
138,Alphington,4,h,SP,McGrath,Northern Metropolitan,2211.0,6.4,Yarra,4.0,2.0,2.0,556.0,272.0,1900000.0
140,Alphington,4,h,S,Jellis,Northern Metropolitan,2211.0,6.4,Darebin,4.0,2.0,3.0,589.0,210.0,1950000.0
141,Altona,3,h,VB,Greg,Western Metropolitan,5301.0,13.8,Hobsons Bay,3.0,2.0,1.0,352.0,242.0,520000.0
142,Altona,5,h,S,Greg,Western Metropolitan,5301.0,13.8,Hobsons Bay,5.0,3.0,3.0,729.0,268.0,1525000.0
143,Altona,2,t,S,hockingstuart,Western Metropolitan,5301.0,13.8,Hobsons Bay,2.0,1.0,2.0,292.0,125.0,720000.0
144,Altona,3,h,S,Barlow,Western Metropolitan,5301.0,13.8,Hobsons Bay,3.0,1.0,2.0,506.0,120.0,1120000.0
146,Altona,4,h,SP,Greg,Western Metropolitan,5301.0,13.8,Hobsons Bay,4.0,3.0,6.0,1057.0,220.0,1780000.0
147,Altona,3,u,S,Barlow,Western Metropolitan,5301.0,13.8,Hobsons Bay,2.0,1.0,2.0,311.0,94.0,630000.0
149,Altona,3,h,VB,Greg,Western Metropolitan,5301.0,13.8,Hobsons Bay,3.0,1.0,1.0,602.0,123.0,660000.0
151,Altona,2,u,S,Barlow,Western Metropolitan,5301.0,13.8,Hobsons Bay,2.0,1.0,1.0,225.0,93.0,580000.0
152,Altona,3,h,S,hockingstuart,Western Metropolitan,5301.0,13.8,Hobsons Bay,3.0,1.0,4.0,777.0,22.0,1335000.0
154,Altona,2,u,S,Village,Western Metropolitan,5301.0,13.8,Hobsons Bay,2.0,1.0,1.0,127.0,76.0,510000.0
156,Altona,2,u,S,hockingstuart,Western Metropolitan,5301.0,13.8,Hobsons Bay,2.0,1.0,2.0,115.0,57.0,425000.0
158,Altona,3,t,S,hockingstuart,Western Metropolitan,5301.0,13.8,Hobsons Bay,3.0,2.0,2.0,197.0,152.0,705000.0
159,Altona,2,u,SP,Greg,Western Metropolitan,5301.0,13.8,Hobsons Bay,2.0,1.0,1.0,0.0,65.0,391000.0
161,Altona,4,h,S,hockingstuart,Western Metropolitan,5301.0,13.8,Hobsons Bay,4.0,1.0,2.0,745.0,130.0,845000.0
162,Altona,3,t,SP,Gunn&Co,Western Metropolitan,5301.0,13.8,Hobsons Bay,3.0,2.0,2.0,211.0,176.0,743000.0
163,Altona,3,u,SP,Barlow,Western Metropolitan,5301.0,13.8,Hobsons Bay,3.0,2.0,1.0,69.0,141.0,730000.0
166,Altona,2,u,S,Burnham,Western Metropolitan,5301.0,13.8,Hobsons Bay,2.0,1.0,1.0,137.0,77.0,447000.0
168,Altona,3,h,S,hockingstuart,Western Metropolitan,5301.0,13.8,Hobsons Bay,3.0,1.0,2.0,606.0,87.0,678000.0
169,Altona,2,u,PI,Biggin,Western Metropolitan,5301.0,13.8,Hobsons Bay,2.0,2.0,1.0,175.0,76.0,580000.0
171,Altona,3,h,SP,Greg,Western Metropolitan,5301.0,13.8,Hobsons Bay,3.0,2.0,2.0,534.0,136.0,840000.0
175,Altona,3,u,S,Williams,Western Metropolitan,5301.0,13.8,Hobsons Bay,3.0,2.0,1.0,205.0,113.0,577000.0
179,Altona,2,h,SP,hockingstuart,Western Metropolitan,5301.0,13.8,Hobsons Bay,2.0,2.0,1.0,675.0,100.0,857000.0
181,Altona,3,u,SP,Barlow,Western Metropolitan,5301.0,13.8,Hobsons Bay,3.0,2.0,1.0,70.0,3.0,730000.0
185,Altona,2,h,SP,Compton,Western Metropolitan,5301.0,13.8,Hobsons Bay,2.0,1.0,1.0,154.0,91.0,535600.0
186,Altona North,5,h,S,FN,Western Metropolitan,5132.0,11.1,Hobsons Bay,5.0,3.0,6.0,592.0,251.0,1085000.0
187,Altona North,3,h,S,Jas,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,1.0,2.0,533.0,117.0,781000.0
189,Altona North,2,t,S,hockingstuart,Western Metropolitan,5132.0,11.1,Hobsons Bay,2.0,1.0,1.0,77.0,77.0,421000.0
191,Altona North,3,h,S,FN,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,1.0,2.0,534.0,167.0,683000.0
193,Altona North,3,h,VB,Greg,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,2.0,1.0,0.0,130.0,720000.0
194,Altona North,3,h,S,Williams,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,1.0,1.0,328.0,118.0,588000.0
195,Altona North,3,h,PI,Village,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,1.0,3.0,540.0,116.0,710000.0
196,Altona North,4,h,SP,Jas,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,1.0,4.0,559.0,169.0,875000.0
200,Altona North,3,h,S,hockingstuart,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,2.0,2.0,171.0,109.0,675000.0
201,Altona North,3,h,S,Greg,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,1.0,2.0,585.0,97.0,708000.0
204,Altona North,3,h,SP,hockingstuart,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,1.0,3.0,602.0,603.0,770000.0
206,Altona North,4,h,SP,Raine&Horne,Western Metropolitan,5132.0,11.1,Hobsons Bay,4.0,2.0,4.0,315.0,170.0,693000.0
207,Altona North,3,h,SP,Hunter,Western Metropolitan,5132.0,11.1,Hobsons Bay,5.0,2.0,2.0,276.0,100.0,620000.0
208,Altona North,3,h,S,Jas,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,1.0,1.0,531.0,157.0,728500.0
209,Altona North,3,h,S,hockingstuart,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,2.0,1.0,590.0,160.0,931000.0
213,Altona North,3,h,S,hockingstuart,Western Metropolitan,5132.0,11.1,Hobsons Bay,3.0,2.0,3.0,555.0,130.0,815000.0
217,Altona North,4,h,SP,RT,Western Metropolitan,5132.0,11.1,Hobsons Bay,4.0,1.0,4.0,633.0,158.0,1200000.0
220,Altona North,2,u,S,Jas,Western Metropolitan,5132.0,11.1,Hobsons Bay,2.0,1.0,1.0,153.0,70.0,292000.0
221,Armadale,2,u,S,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,2.0,1.0,1.0,0.0,76.0,599000.0
223,Armadale,3,u,S,Marshall,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,2.0,2.0,0.0,100.0,995000.0
224,Armadale,3,t,S,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,2.0,2.0,101.0,105.0,1205000.0
225,Armadale,3,h,S,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,2.0,2.0,296.0,150.0,1939000.0
227,Armadale,3,h,S,Hodges,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,1.0,1.0,217.0,116.0,1870000.0
229,Armadale,3,t,SP,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,2.0,2.0,0.0,165.0,1918000.0
231,Armadale,3,h,S,Marshall,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,2.0,1.0,205.0,116.0,2050000.0
236,Armadale,3,u,PI,Marshall,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,2.0,1.0,2113.0,14.0,735000.0
240,Armadale,1,h,SP,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,2.0,2.0,1.0,144.0,107.0,1435000.0
241,Armadale,1,u,PI,hockingstuart,Southern Metropolitan,4836.0,6.3,Stonnington,1.0,1.0,1.0,0.0,38.0,280000.0
244,Armadale,2,u,S,hockingstuart,Southern Metropolitan,4836.0,6.3,Stonnington,2.0,1.0,1.0,0.0,73.0,592500.0
245,Armadale,2,h,S,Marshall,Southern Metropolitan,4836.0,6.3,Stonnington,2.0,1.0,0.0,249.0,96.0,1210000.0
246,Armadale,4,h,S,Marshall,Southern Metropolitan,4836.0,6.3,Stonnington,4.0,2.0,2.0,624.0,222.0,2801000.0
248,Armadale,3,h,PI,RT,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,2.0,2.0,405.0,121.0,1800000.0
249,Armadale,4,h,PI,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,4.0,1.0,2.0,495.0,163.0,2200000.0
251,Armadale,6,h,S,Marshall,Southern Metropolitan,4836.0,6.3,Stonnington,5.0,3.0,4.0,1491.0,516.0,5525000.0
256,Armadale,1,u,SP,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,1.0,1.0,1.0,0.0,53.0,440000.0
259,Armadale,3,h,VB,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,2.0,1.0,2.0,212.0,106.0,1300000.0
261,Armadale,2,u,SP,Greg,Southern Metropolitan,4836.0,6.3,Stonnington,2.0,1.0,1.0,0.0,74.0,704000.0
262,Armadale,2,u,VB,Marshall,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,1.0,1.0,0.0,98.0,620000.0
263,Armadale,3,h,S,Marshall,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,1.0,2.0,328.0,108.0,1900000.0
266,Armadale,2,u,S,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,2.0,1.0,1.0,2471.0,80.0,710000.0
268,Armadale,2,u,S,hockingstuart,Southern Metropolitan,4836.0,6.3,Stonnington,2.0,1.0,1.0,0.0,88.0,598000.0
269,Armadale,3,h,S,Marshall,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,1.0,2.0,186.0,80.0,1285000.0
271,Armadale,2,u,S,hockingstuart,Southern Metropolitan,4836.0,6.3,Stonnington,1.0,1.0,1.0,0.0,76.0,520000.0
272,Armadale,4,h,S,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,4.0,1.0,2.0,709.0,251.0,3625000.0
273,Armadale,4,h,VB,Kay,Southern Metropolitan,4836.0,6.3,Stonnington,4.0,3.0,3.0,563.0,333.0,4200000.0
274,Armadale,3,t,S,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,1.0,2.0,103.0,3.0,1101000.0
275,Armadale,3,h,S,Marshall,Southern Metropolitan,4836.0,6.3,Stonnington,3.0,2.0,2.0,617.0,285.0,3512500.0
277,Armadale,3,u,S,Jellis,Southern Metropolitan,4836.0,6.3,Stonnington,2.0,1.0,1.0,0.0,91.0,869000.0
280,Armadale,1,u,S,hockingstuart,Southern Metropolitan,4836.0,6.3,Stonnington,1.0,1.0,1.0,0.0,53.0,567000.0
284,Ascot Vale,3,h,S,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,1.0,2.0,298.0,108.0,940000.0
285,Ascot Vale,2,u,SP,Brad,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,1.0,1.0,0.0,62.0,467000.0
286,Ascot Vale,3,h,SP,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,2.0,2.0,277.0,174.0,1380000.0
287,Ascot Vale,2,u,VB,Jellis,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,1.0,1.0,423.0,62.0,490000.0
288,Ascot Vale,4,h,S,Brad,Western Metropolitan,6567.0,5.9,Moonee Valley,4.0,3.0,1.0,478.0,270.0,1850000.0
290,Ascot Vale,3,h,SP,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,2.0,2.0,285.0,128.0,971000.0
291,Ascot Vale,2,h,PI,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,1.0,1.0,214.0,77.0,710000.0
292,Ascot Vale,6,h,PI,Brad,Western Metropolitan,6567.0,5.9,Moonee Valley,6.0,3.0,2.0,1014.0,435.0,2425000.0
293,Ascot Vale,2,h,SP,Maddison,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,1.0,1.0,226.0,92.0,750000.0
294,Ascot Vale,2,h,S,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,1.0,1.0,269.0,109.0,1053000.0
295,Ascot Vale,3,h,S,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,1.0,1.0,417.0,168.0,1377000.0
296,Ascot Vale,3,h,S,Brad,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,1.0,2.0,350.0,125.0,970000.0
298,Ascot Vale,2,h,PI,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,1.0,1.0,118.0,79.0,751000.0
299,Ascot Vale,2,h,SP,Raine,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,1.0,1.0,173.0,102.0,950000.0
300,Ascot Vale,2,u,S,Brad,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,1.0,2.0,228.0,90.0,685000.0
301,Ascot Vale,3,h,S,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,4.0,1.0,2.0,594.0,148.0,1230000.0
304,Ascot Vale,2,h,PI,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,1.0,1.0,226.0,87.0,770000.0
306,Ascot Vale,4,h,SP,Raine,Western Metropolitan,6567.0,5.9,Moonee Valley,4.0,1.0,1.0,300.0,185.0,890000.0
308,Ascot Vale,3,h,S,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,1.0,1.0,487.0,131.0,1440000.0
312,Ascot Vale,3,h,PI,Brad,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,2.0,2.0,440.0,120.0,1000000.0
313,Ascot Vale,3,h,S,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,2.0,2.0,532.0,147.0,1435000.0
314,Ascot Vale,1,u,S,Alexkarbon,Western Metropolitan,6567.0,5.9,Moonee Valley,1.0,1.0,1.0,0.0,58.0,390000.0
315,Ascot Vale,3,h,PI,Jellis,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,2.0,2.0,495.0,139.0,1425000.0
316,Ascot Vale,4,h,S,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,2.0,2.0,683.0,232.0,1340000.0
317,Ascot Vale,3,h,S,Brad,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,1.0,1.0,263.0,117.0,955000.0
318,Ascot Vale,4,h,VB,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,4.0,2.0,5.0,559.0,195.0,1100000.0
320,Ascot Vale,2,u,S,Biggin,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,1.0,1.0,0.0,62.0,432000.0
321,Ascot Vale,4,h,S,Raine,Western Metropolitan,6567.0,5.9,Moonee Valley,4.0,3.0,2.0,562.0,204.0,1640000.0
322,Ascot Vale,6,h,S,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,4.0,2.0,1.0,461.0,286.0,1430000.0
323,Ascot Vale,2,u,SP,Brad,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,1.0,1.0,301.0,104.0,610000.0
324,Ascot Vale,3,h,S,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,3.0,1.0,491.0,127.0,940000.0
325,Ascot Vale,3,h,SP,Brad,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,1.0,1.0,242.0,110.0,890000.0
326,Ascot Vale,3,h,SP,Brad,Western Metropolitan,6567.0,5.9,Moonee Valley,3.0,2.0,2.0,617.0,149.0,1180000.0
327,Ascot Vale,4,h,S,Raine,Western Metropolitan,6567.0,5.9,Moonee Valley,4.0,2.0,2.0,597.0,180.0,1480000.0
331,Ascot Vale,2,t,SP,Nelson,Western Metropolitan,6567.0,5.9,Moonee Valley,2.0,2.0,1.0,146.0,132.0,865000.0
